"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 05, 2024","1.0875","1.0847","1.0878","1.0835","24.65K","0.27%"
"Jul 04, 2024","1.0846","1.0828","1.0850","1.0821","7.46K","0.26%"
"Jul 03, 2024","1.0818","1.0783","1.0855","1.0774","0.24K","0.35%"
"Jul 02, 2024","1.0780","1.0776","1.0785","1.0747","0.70K","0.10%"
"Jul 01, 2024","1.0769","1.0770","1.0816","1.0758","0.60K","0.16%"
"Jun 29, 2024","1.0752","1.0752","1.0752","1.0752","-","0.00%"
"Jun 28, 2024","1.0752","1.0744","1.0765","1.0724","18.26K","0.06%"
"Jun 27, 2024","1.0746","1.0722","1.0767","1.0716","14.21K","0.23%"
"Jun 26, 2024","1.0721","1.0757","1.0760","1.0707","18.04K","-0.35%"
"Jun 25, 2024","1.0759","1.0778","1.0787","1.0733","13.35K","-0.19%"
"Jun 24, 2024","1.0779","1.0740","1.0790","1.0726","15.33K","0.39%"
"Jun 22, 2024","1.0737","1.0737","1.0737","1.0737","-","-0.01%"
"Jun 21, 2024","1.0738","1.0747","1.0764","1.0714","18.88K","-0.16%"
"Jun 20, 2024","1.0755","1.0786","1.0799","1.0745","26.47K","-0.34%"
"Jun 19, 2024","1.0792","1.0784","1.0799","1.0770","9.55K","0.06%"
"Jun 18, 2024","1.0786","1.0778","1.0808","1.0756","18.56K","0.66%"
"Jun 17, 2024","1.0715","1.0707","1.0717","1.0691","0.92K","0.14%"
"Jun 14, 2024","1.0700","1.0735","1.0745","1.0668","5.13K","-0.38%"
"Jun 13, 2024","1.0741","1.0814","1.0818","1.0734","15.94K","-0.70%"
"Jun 12, 2024","1.0817","1.0748","1.0856","1.0737","22.92K","0.65%"
"Jun 11, 2024","1.0747","1.0770","1.0777","1.0723","16.98K","-0.18%"
"Jun 10, 2024","1.0766","1.0785","1.0788","1.0737","16.87K","-0.41%"
"Jun 07, 2024","1.0810","1.0896","1.0920","1.0804","20.62K","-0.82%"
"Jun 06, 2024","1.0899","1.0874","1.0910","1.0867","18.91K","0.16%"
"Jun 05, 2024","1.0882","1.0884","1.0898","1.0856","17.90K","-0.06%"
