"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2019","8,257.83","8,238.85","8,264.94","8,212.59","132.49M","-0.02%"
"11/13/2019","8,259.81","8,235.68","8,274.61","8,233.38","136.69M","-0.05%"
"11/12/2019","8,263.79","8,249.62","8,293.18","8,238.33","129.36M","0.27%"
"11/11/2019","8,241.91","8,212.37","8,245.89","8,202.36","112.62M","-0.17%"
"11/08/2019","8,255.89","8,208.37","8,256.29","8,186.31","135.07M","0.44%"
"11/07/2019","8,219.65","8,237.68","8,271.82","8,198.91","166.56M","0.29%"
"11/06/2019","8,196.03","8,204.34","8,204.34","8,157.36","144.67M","-0.17%"
"11/05/2019","8,210.17","8,225.34","8,229.09","8,191.05","153.80M","-0.01%"
"11/04/2019","8,210.66","8,218.93","8,228.33","8,197.32","150.90M","0.61%"
"11/01/2019","8,161.17","8,121.95","8,161.98","8,111.73","162.54M","0.96%"
"10/31/2019","8,083.83","8,100.62","8,110.44","8,041.65","180.21M","0.01%"
"10/30/2019","8,083.11","8,056.90","8,096.32","8,017.92","140.82M","0.44%"
"10/29/2019","8,047.51","8,101.55","8,108.61","8,045.64","135.78M","-0.78%"
"10/28/2019","8,110.67","8,071.39","8,119.73","8,070.90","140.84M","1.01%"
"10/25/2019","8,029.22","7,926.60","8,033.29","7,926.60","150.68M","0.78%"
"10/24/2019","7,966.72","7,956.23","7,969.66","7,912.72","158.18M","0.98%"
"10/23/2019","7,889.47","7,858.48","7,890.21","7,845.09","136.79M","0.19%"
"10/22/2019","7,874.62","7,968.25","7,977.01","7,871.98","139.02M","-0.83%"
"10/21/2019","7,940.33","7,911.58","7,941.48","7,887.74","133.09M","0.91%"
"10/18/2019","7,868.49","7,938.30","7,946.81","7,829.75","176.07M","-0.93%"
"10/17/2019","7,942.14","7,976.64","7,981.14","7,914.94","124.57M","0.28%"
"10/16/2019","7,920.21","7,911.99","7,941.76","7,898.31","134.26M","-0.29%"
"10/15/2019","7,942.85","7,867.96","7,960.14","7,863.65","126.12M","1.28%"
"10/14/2019","7,842.33","7,834.74","7,865.67","7,827.16","112.43M","-0.02%"
"10/11/2019","7,843.88","7,835.93","7,904.05","7,831.11","180.49M","1.34%"
"10/10/2019","7,740.36","7,688.42","7,772.68","7,682.61","126.74M","0.65%"
"10/09/2019","7,690.53","7,678.66","7,717.94","7,655.48","114.22M","1.13%"
"10/08/2019","7,604.27","7,671.38","7,707.17","7,603.76","152.36M","-1.56%"
"10/07/2019","7,725.13","7,725.68","7,784.79","7,712.68","130.61M","-0.37%"
"10/04/2019","7,754.10","7,677.32","7,759.36","7,670.92","134.98M","1.51%"
"10/03/2019","7,638.40","7,557.19","7,640.42","7,463.57","152.63M","1.16%"
"10/02/2019","7,550.79","7,627.59","7,631.34","7,513.69","187.74M","-1.74%"
"10/01/2019","7,684.14","7,782.82","7,821.73","7,675.42","150.44M","-0.84%"
"09/30/2019","7,749.45","7,705.97","7,761.84","7,693.49","144.63M","0.88%"
"09/27/2019","7,681.58","7,786.03","7,790.80","7,626.82","170.02M","-1.16%"
"09/26/2019","7,771.99","7,794.28","7,798.12","7,718.69","146.93M","-0.40%"
"09/25/2019","7,803.54","7,706.50","7,822.43","7,647.63","154.55M","1.21%"
"09/24/2019","7,710.04","7,855.97","7,873.25","7,684.80","205.30M","-1.39%"
"09/23/2019","7,818.61","7,815.23","7,842.98","7,790.29","138.57M","-0.06%"
"09/20/2019","7,823.55","7,901.46","7,920.53","7,794.27","425.83M","-0.99%"
"09/19/2019","7,901.79","7,904.40","7,950.21","7,888.31","136.33M","0.17%"
"09/18/2019","7,888.56","7,877.58","7,891.17","7,791.58","148.23M","0.00%"
"09/17/2019","7,888.79","7,849.88","7,891.21","7,840.99","131.29M","0.46%"
"09/16/2019","7,852.41","7,833.73","7,868.73","7,831.76","127.98M","-0.51%"
"09/13/2019","7,892.95","7,903.73","7,923.41","7,879.59","137.91M","-0.31%"
"09/12/2019","7,917.34","7,931.97","7,975.33","7,907.33","172.95M","0.38%"
"09/11/2019","7,887.58","7,820.71","7,888.34","7,812.07","174.74M","0.93%"
"09/10/2019","7,814.74","7,793.27","7,817.58","7,743.61","169.12M","-0.23%"
"09/09/2019","7,832.40","7,876.40","7,877.41","7,795.86","164.52M","-0.26%"
"09/06/2019","7,852.54","7,868.87","7,874.99","7,835.89","143.93M","-0.13%"
"09/05/2019","7,862.54","7,803.45","7,879.97","7,803.45","177.17M","1.86%"
"09/04/2019","7,719.25","7,683.78","7,724.91","7,663.64","152.71M","1.44%"
"09/03/2019","7,609.51","7,634.03","7,670.17","7,584.82","141.82M","-1.06%"
"08/30/2019","7,691.00","7,743.23","7,747.08","7,642.90","155.12M","-0.15%"
"08/29/2019","7,702.31","7,678.69","7,723.94","7,654.31","132.36M","1.51%"
"08/28/2019","7,587.90","7,536.70","7,598.15","7,500.22","127.12M","0.29%"
"08/27/2019","7,566.03","7,630.46","7,640.68","7,531.97","161.64M","-0.12%"
"08/26/2019","7,575.02","7,540.69","7,577.77","7,506.17","141.31M","1.47%"
"08/23/2019","7,464.99","7,658.48","7,722.43","7,442.93","226.23M","-3.15%"
"08/22/2019","7,707.43","7,750.98","7,764.79","7,649.28","134.14M","-0.33%"
"08/21/2019","7,733.22","7,731.75","7,754.66","7,706.57","114.96M","0.90%"
"08/20/2019","7,664.47","7,708.31","7,731.31","7,664.21","136.55M","-0.71%"
"08/19/2019","7,719.32","7,715.41","7,740.74","7,688.09","158.81M","1.52%"
"08/16/2019","7,604.11","7,548.90","7,622.73","7,548.90","172.43M","1.59%"
"08/15/2019","7,484.89","7,503.14","7,523.50","7,429.36","175.07M","-0.07%"
"08/14/2019","7,490.13","7,594.64","7,621.70","7,480.58","227.84M","-3.08%"
"08/13/2019","7,728.15","7,561.68","7,778.34","7,553.33","213.47M","2.20%"
"08/12/2019","7,561.68","7,597.19","7,623.44","7,528.95","166.70M","-1.11%"
"08/09/2019","7,646.27","7,684.56","7,709.51","7,591.14","177.03M","-1.02%"
"08/08/2019","7,724.83","7,608.03","7,726.46","7,576.82","220.27M","2.29%"
"08/07/2019","7,551.90","7,436.14","7,569.90","7,386.39","192.75M","0.41%"
"08/06/2019","7,521.32","7,492.02","7,541.74","7,432.31","188.95M","1.42%"
"08/05/2019","7,415.69","7,510.02","7,528.90","7,356.27","260.46M","-3.60%"
"08/02/2019","7,692.80","7,740.91","7,755.09","7,645.18","195.78M","-1.39%"
"08/01/2019","7,801.15","7,866.60","8,000.94","7,769.02","229.35M","-0.61%"
"07/31/2019","7,848.78","7,972.76","7,979.20","7,774.93","241.20M","-1.30%"
"07/30/2019","7,952.47","7,927.56","7,983.11","7,923.45","145.34M","-0.46%"
"07/29/2019","7,989.08","8,010.05","8,010.05","7,939.98","166.74M","-0.35%"
"07/26/2019","8,016.95","7,992.12","8,027.18","7,986.72","166.61M","1.10%"
"07/25/2019","7,929.87","7,979.14","7,983.96","7,921.21","176.53M","-1.01%"
"07/24/2019","8,010.60","7,928.78","8,010.83","7,926.98","169.25M","0.70%"
"07/23/2019","7,954.56","7,946.05","7,955.09","7,895.05","138.29M","0.63%"
"07/22/2019","7,905.12","7,862.38","7,918.47","7,862.27","149.00M","0.90%"
"07/19/2019","7,834.90","7,944.86","7,950.23","7,832.39","177.80M","-0.88%"
"07/18/2019","7,904.13","7,850.12","7,912.33","7,827.49","156.44M","0.19%"
"07/17/2019","7,888.76","7,927.91","7,941.10","7,887.98","144.40M","-0.48%"
"07/16/2019","7,927.08","7,958.44","7,965.76","7,904.95","139.65M","-0.50%"
"07/15/2019","7,966.93","7,961.07","7,969.79","7,940.45","149.41M","0.30%"
"07/12/2019","7,943.24","7,908.58","7,944.08","7,900.39","178.33M","0.59%"
"07/11/2019","7,896.78","7,918.65","7,934.60","7,873.16","149.72M","-0.08%"
"07/10/2019","7,903.40","7,869.73","7,923.93","7,858.68","165.08M","0.98%"
"07/09/2019","7,826.86","7,748.29","7,833.93","7,748.23","146.88M","0.53%"
"07/08/2019","7,785.79","7,790.46","7,792.20","7,756.11","143.85M","-0.71%"
"07/05/2019","7,841.30","7,806.07","7,854.71","7,774.59","125.48M","-0.21%"
"07/03/2019","7,857.69","7,819.06","7,857.69","7,811.29","111.14M","0.74%"
"07/02/2019","7,799.82","7,763.03","7,800.47","7,746.01","139.65M","0.41%"
"07/01/2019","7,768.14","7,816.56","7,820.81","7,735.67","182.63M","1.27%"
"06/28/2019","7,671.07","7,674.52","7,682.26","7,639.44","318.50M","0.18%"
"06/27/2019","7,657.05","7,656.68","7,672.98","7,636.72","150.21M","0.39%"
"06/26/2019","7,627.05","7,642.92","7,688.64","7,616.91","192.60M","0.47%"
"06/25/2019","7,591.54","7,720.91","7,723.04","7,584.16","173.04M","-1.70%"
"06/24/2019","7,723.02","7,737.01","7,746.68","7,720.78","153.06M","-0.07%"
"06/21/2019","7,728.78","7,719.42","7,772.53","7,708.24","385.16M","-0.12%"
"06/20/2019","7,738.06","7,770.17","7,770.61","7,681.43","170.38M","0.92%"
"06/19/2019","7,667.74","7,652.52","7,681.56","7,606.28","166.28M","0.42%"
"06/18/2019","7,635.40","7,606.61","7,689.08","7,595.59","197.02M","1.45%"
"06/17/2019","7,526.52","7,500.28","7,546.99","7,492.17","147.03M","0.63%"
"06/14/2019","7,479.11","7,476.47","7,500.74","7,454.87","152.29M","-0.42%"
"06/13/2019","7,510.68","7,500.85","7,530.90","7,487.09","140.05M","0.51%"
"06/12/2019","7,472.29","7,493.55","7,507.52","7,459.20","141.90M","-0.55%"
"06/11/2019","7,513.85","7,584.75","7,595.57","7,489.99","162.20M","0.16%"
"06/10/2019","7,501.93","7,472.60","7,573.00","7,468.16","176.90M","1.14%"
"06/07/2019","7,417.29","7,315.33","7,445.99","7,309.01","176.53M","1.94%"
"06/06/2019","7,275.93","7,229.86","7,293.22","7,201.59","172.72M","0.76%"
"06/05/2019","7,220.90","7,230.81","7,235.23","7,146.43","181.76M","0.76%"
"06/04/2019","7,166.75","7,056.18","7,169.79","7,023.10","217.17M","2.70%"
"06/03/2019","6,978.02","7,110.34","7,126.43","6,936.68","245.98M","-2.10%"
"05/31/2019","7,127.96","7,148.71","7,183.23","7,125.97","183.95M","-1.62%"
"05/30/2019","7,245.40","7,234.83","7,262.77","7,204.42","135.81M","0.40%"
"05/29/2019","7,216.86","7,222.55","7,254.20","7,176.67","195.44M","-0.85%"
